APP_ID,DISBURSALDATE,REPORT_DATE,TERM_TMP,PRODUCT_NAME,LOANAMOUNT_NOT_INSURANCE,INSURANCE_FEE,LA,EFF_RATE,TERM,COUNT_TERM_RECEIPT,flag term,SUM_RECEIPT_AMT,flag loan amt,flag final,RESULT_YES/NO,EMI,GENDER,AGE,Number of Children,PERSONAL_INCOME,ADDITIONAL_INCOME,PERSONAL_EXPENSE,FAMILY_INCOME,FAMILY_EXPENSE,MARITAL_STATUS,EDUCATION,City,ADDRESS_CURRENT_CITY,PROVINCE_CURRENT
16499318,2017-10-10,2018-10-26,12,FC UP DSA TS SCORE 2 NEW- 762,18000000,990000,18990000,45.0,24,12.0,1.0,14701000.0,1.0,1.0,1,1213820,F,30,0,9000000,0,9600000,20000000,5000000,Other,High School,Tỉnh Yên Bái,Yên Bình,Tỉnh Yên Bái
16490594,2017-10-10,2018-10-26,12,FC UP L.G 2 TSA SCORE NEW- 617,10000000,550000,10550000,44.5,12,13.0,1.0,13465000.0,1.0,1.0,1,1105184,F,25,0,5500000,0,7200000,15000000,4000000,Married,High School,Tỉnh Quảng Ninh,Đông Triều,Tỉnh Quảng Ninh
16910227,2017-10-28,2018-10-26,11,FC UP CAT B NEW- 610,25000000,1375000,26375000,47.0,24,11.0,1.0,19003625.0,1.0,1.0,1,1715125,M,21,0,5182000,0,12000000,5200000,1000000,Single,Middle School,Tỉnh Bình Dương,Tân Uyên,Tỉnh Bình Dương
16355347,2017-10-04,2018-10-26,12,FC UP L.G 2 TSA SCORE NEW- 617,30000000,1650000,31650000,44.5,24,10.0,0.0,18741000.0,0.0,0.0,0,2014302,F,29,0,10000000,0,18000000,20000000,6000000,Married,Middle School,Tỉnh An Giang,Phú Tân,Tỉnh An Giang
16705974,2017-10-18,2018-10-26,12,FC UP L.G 2 TSA SCORE NEW- 617,20000000,1100000,21100000,44.5,18,12.0,1.0,19673856.0,1.0,1.0,1,1627488,M,23,0,7000000,0,12000000,20000000,7000000,Single,High School,Thành phố Hải Phòng,Vĩnh Bảo,Thành phố Hải Phòng
16492574,2017-10-14,2018-10-26,12,FC UP CAT A NEW- 608,15000000,825000,15825000,37.0,18,12.0,1.0,13961737.0,1.0,1.0,1,1158737,M,99,0,5300000,0,12000000,11000000,4000000,Married,High School,Tỉnh An Giang,Châu Thành,Tỉnh An Giang
16635668,2017-10-17,2018-10-26,12,FC UP L.G 1 TSA SCORE NEW- 616,30000000,0,30000000,33.5,30,-1.0,-1.0,-1.0,-1.0,-1.0,0,1489649,F,28,0,25000000,0,12000000,35000000,8000000,Divorced,College,Thành phố Hà Nội,Hoàn Kiếm,Thành phố Hà Nội
16733065,2017-10-20,2018-10-26,12,FC UP DSA TS SCORE 1 NEW- 761,30000000,0,30000000,35.0,20,12.0,1.0,24153000.0,1.0,1.0,1,2000967,M,33,0,10000000,0,12000000,30000000,6000000,Married,High School,Tỉnh Nghệ An,Vinh,Tỉnh Nghệ An
16307010,2017-10-12,2018-10-26,12,FC UP PL GOV EMPLOYEE 1 VNP - 515,20000000,0,20000000,35.0,18,2.0,0.0,21961000.0,1.0,0.0,1,1443948,F,43,0,6965000,0,24000000,13000000,3000000,Divorced,High School,Tỉnh Lâm Đồng,Di Linh,Tỉnh Lâm Đồng
16639165,2017-10-17,2018-10-26,12,FC UP L.G 2 TSA SCORE NEW- 617,20000000,1100000,21100000,44.5,18,12.0,1.0,19676928.0,1.0,1.0,1,1627488,F,27,0,8000000,0,12000000,8000000,1000000,Divorced,Middle School,Tỉnh Lâm Đồng,Đức Trọng,Tỉnh Lâm Đồng
16617040,2017-10-15,2018-10-26,12,FC UP DSA TS SCORE 2 NEW- 762,15000000,825000,15825000,45.0,12,12.0,1.0,19769460.0,0.0,0.0,1,1661820,F,46,0,6000000,0,10800000,36000000,6000000,Married,High School,Tỉnh An Giang,Phú Tân,Tỉnh An Giang
16635735,2017-10-20,2018-10-26,12,FC UP SUR INS 37 NEW- 612,50000000,2750000,52750000,37.0,36,12.0,1.0,29485148.0,1.0,1.0,1,2446287,F,30,0,10000000,0,18000000,30000000,10000000,Married,High School,TP Hồ Chí Minh,Củ Chi,TP Hồ Chí Minh
16636841,2017-10-17,2018-10-26,12,FC UP L.G 1 TSA SCORE NEW- 616,20000000,1100000,21100000,33.5,24,12.0,1.0,14761000.0,1.0,1.0,1,1218107,F,32,0,4500000,0,10800000,14000000,4500000,Married,Middle School,Tỉnh Vĩnh Long,Bình Minh,Tỉnh Vĩnh Long
16489534,2017-10-06,2018-10-26,12,FC UP L.G 2 TSA SCORE NEW- 617,30000000,1650000,31650000,44.5,24,12.0,1.0,24306416.0,1.0,1.0,1,2014302,F,25,0,10000000,0,12000000,18000000,6000000,Married,College,Thành phố Hà Nội,Mê Linh,Thành phố Hà Nội
16668012,2017-10-22,2018-10-26,12,FC UP SUR CF EASY– 554,10000000,550000,10550000,60.0,12,12.0,1.0,14436000.0,1.0,1.0,1,1190308,M,40,0,7000000,0,12000000,20000000,6000000,Married,Basic School,Tỉnh Sóc Trăng,Thạnh Trị,Tỉnh Sóc Trăng
16660446,2017-10-18,2018-10-26,12,FC UP EVN CLASSIC VNP - 449,9500000,522500,10022500,60.0,12,12.0,1.0,13572000.0,1.0,1.0,1,1130793,F,57,0,10000000,0,10800000,18000000,3600000,Married,Working Cerfiticate,Tỉnh Bà Rịa - Vũng Tàu,Xuyên Mộc,Tỉnh Bà Rịa - Vũng Tàu
16364716,2017-10-03,2018-10-26,12,FC UP DSA TS SCORE 1 NEW- 761,20000000,1100000,21100000,35.0,24,7.0,0.0,11115000.0,0.0,0.0,0,1234743,M,29,0,15000000,0,12000000,30000000,6000000,Married,Middle School,Tỉnh Đồng Nai,Tân Phú,Tỉnh Đồng Nai
16435149,2017-10-05,2018-10-26,12,FC UP DSA TS SCORE 2 NEW- 762,30000000,1650000,31650000,45.0,24,12.0,1.0,24424264.0,1.0,1.0,1,2023033,F,39,0,10000000,0,18000000,25000000,5000000,Married,High School,Tỉnh Khánh Hòa,Vạn Ninh,Tỉnh Khánh Hòa
16332681,2017-10-04,2018-10-26,12,FC UP DSA TS SCORE 3- 541,20000000,1100000,21100000,59.99,24,8.0,0.0,13776072.0,0.0,0.0,0,1529012,F,38,0,5000000,0,6000000,17000000,2500000,Married,Middle School,Tỉnh Lâm Đồng,Bảo Lộc,Tỉnh Lâm Đồng
16810716,2017-10-23,2018-10-26,12,FC UP CAT B NEW- 610,50000000,2750000,52750000,47.0,24,14.0,1.0,30881008.0,0.0,0.0,0,3430251,F,28,0,12000000,0,24000000,25000000,4500000,Single,Master Degree,TP Hồ Chí Minh,Thủ Đức,TP Hồ Chí Minh
16736864,2017-10-21,2018-10-26,12,FC UP SUR BIKE PLUS NEW- 618,20000000,1100000,21100000,47.0,24,11.0,0.0,15214000.0,0.0,0.0,0,1372100,M,24,0,6000000,0,18000000,26000000,6000000,Single,High School,Tỉnh Đồng Nai,Trảng Bom,Tỉnh Đồng Nai
16492662,2017-10-10,2018-10-26,12,FC UP L.G 1 TSA SCORE NEW- 616,30000000,1650000,31650000,33.5,30,12.0,1.0,18991211.0,1.0,1.0,1,1571579,F,42,0,14000000,0,24000000,30000000,7000000,Married,High School,Tỉnh Gia Lai,Pleiku,Tỉnh Gia Lai
16488592,2017-10-10,2018-10-26,12,FC UP DSA TS SCORE 1 NEW- 761,40000000,2200000,42200000,35.0,12,13.0,1.0,50941380.0,1.0,1.0,1,4218438,M,50,0,20000000,0,36000000,35000000,5000000,Married,Basic School,Tỉnh Đồng Tháp,Thanh Bình,Tỉnh Đồng Tháp
16750655,2017-10-21,2018-10-26,12,FC UP DSA TS SCORE 1 NEW- 761,20000000,1100000,21100000,35.0,18,12.0,1.0,18430730.0,1.0,1.0,1,1523365,M,42,0,14000000,0,24000000,25000000,4000000,Married,High School,TP Hồ Chí Minh,Gò Vấp,TP Hồ Chí Minh
