,APP_ID,DISBURSALDATE,REPORT_DATE,TERM_TMP,PRODUCT_NAME,LOANAMOUNT_NOT_INSURANCE,INSURANCE_FEE,LA,EFF_RATE,TERM,COUNT_TERM_RECEIPT,flag term,SUM_RECEIPT_AMT,Unnamed: 13,flag loan amt,flag final,RESULT_YES/NO,EMI,GENDER,AGE,Number of Children,PERSONAL_INCOME,ADDITIONAL_INCOME,PERSONAL_EXPENSE,FAMILY_INCOME,FAMILY_EXPENSE,MARITAL_STATUS,EDUCATION,City,ADDRESS_CURRENT_CITY,PROVINCE_CURRENT
1501,16379623.0,2017-10-04,2018-10-26,12.0,FC UP DSA TS SCORE 1 NEW- 761,10000000.0,550000.0,,35.0,24.0,,1.0,7431000.0,,1.0,1.0,1.0,617371.0,M,23.0,,5000000.0,0.0,24000000.0,15000000.0,2000000.0,Single,High School,Tỉnh Hà Tĩnh,Hương Sơn,Tỉnh Hà Tĩnh
2586,16519377.0,2017-10-11,2018-10-26,12.0,,10000000.0,550000.0,10550000.0,,12.0,12.0,1.0,14487252.0,,1.0,1.0,1.0,1190252.0,F,21.0,,6000000.0,0.0,9600000.0,30000000.0,8000000.0,Married,High School,Tỉnh Gia Lai,Chư Prông,Tỉnh Gia Lai
2653,16620007.0,,2018-10-26,12.0,FC UP CAT B NEW- 610,25000000.0,1375000.0,26375000.0,47.0,36.0,12.0,1.0,16692000.0,,1.0,1.0,1.0,1378837.0,F,26.0,,4869000.0,0.0,9600000.0,,8000000.0,,High School,TP Hồ Chí Minh,Quận 12,TP Hồ Chí Minh
1055,16425299.0,2017-10-06,2018-10-26,12.0,FC CD PORT LP NEW-1848,5810000.0,290500.0,6100500.0,65.0,6.0,6.0,1.0,7380000.0,,1.0,1.0,1.0,1218000.0,,33.0,,10000000.0,0.0,3000000.0,10000000.0,3000000.0,Single,Middle School,TP Hồ Chí Minh,Bình Tân,TP Hồ Chí Minh
705,16316236.0,2017-10-04,2018-10-26,12.0,FC UP EVN CLASSIC - 292,10000000.0,550000.0,10550000.0,60.0,15.0,,,12339699.0,,1.0,1.0,1.0,1016411.0,M,56.0,,10000000.0,0.0,18000000.0,30000000.0,5000000.0,Married,High School,,Phú Riềng,Tỉnh Bình Phước
106,16349136.0,,2018-10-26,12.0,FC UP DSA TS SCORE 1 NEW- 761,50000000.0,2750000.0,52750000.0,35.0,30.0,,,,,,,0.0,2662357.0,F,52.0,,12000000.0,0.0,,33000000.0,4000000.0,Married,High School,,Thủ Dầu Một,
589,16905642.0,2017-10-30,2018-10-26,,FC CD KEY DEALERS 1 - 811,7820000.0,391000.0,8211000.0,45.0,6.0,6.0,1.0,7859000.0,0.1571214071214071,0.0,0.0,,1554000.0,M,23.0,,8000000.0,,900000.0,16000000.0,3000000.0,Single,,Thành phố Hà Nội,Từ Liêm,Thành phố Hà Nội
2468,16502314.0,,2018-10-26,12.0,FC CD KEY DEALERS 2 NEW- 1801,3000000.0,150000.0,3150000.0,35.0,9.0,9.0,1.0,3735000.0,,1.0,1.0,,403000.0,F,54.0,,8000000.0,0.0,1000000.0,18000000.0,,,High School,Tỉnh Đồng Nai,Long Khánh,Tỉnh Đồng Nai
2413,16455959.0,,2018-10-26,12.0,FC CD KEY DEALERS 4 - 814,,466950.0,8956950.0,27.5,12.0,12.0,1.0,10500000.0,,1.0,1.0,1.0,863000.0,F,22.0,,10000000.0,0.0,1000000.0,32000000.0,4000000.0,Single,High School,Tỉnh Bạc Liêu,Bạc Liêu,Tỉnh Bạc Liêu
1600,,2017-10-27,,12.0,FC CD OPPO 10 NKD OCT OUT-1944,4221000.0,278586.0,4499586.0,17.7,10.0,8.0,0.0,4000000.0,,0.0,0.0,0.0,488000.0,F,23.0,,5000000.0,0.0,1000000.0,15000000.0,6000000.0,Civil Marriage/live-in,High School,Tỉnh Thanh Hóa,Quảng Xương,
